case_name,source_npz,output_npz,status,num_input_samples,num_output_samples,burnin_start_idx,burnin_start_time_dim,burnin_seconds_removed,force_rel_std_threshold,persistence_seconds,force_rel_std_at_cut,force_std_ref,td_paramset_id,theta0_export,num_theta0,flow_speed_m_s,dt_dim,stiffness_n_m,effective_mass_kg,dry_mass_kg,damping_c,error
comb_Ur10__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports/comb_Ur10__1Hydro.npz,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports_td_burnin_trimmed/comb_Ur10__1Hydro.npz,ok,18464,16470,1994,1554.547,23.92800000000011,0.0001,1.0,9.993797776696771e-05,0.11955569575811949,cv1.2_cd1.1_ca1_c0_fhat00.18_band0.11-0.26,0.0,7,1.0,0.011999999999943611,1.185,3.7853981633974483,3.0,0.0,
comb_Ur10__3Hydro,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports/comb_Ur10__3Hydro.npz,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports_td_burnin_trimmed/comb_Ur10__3Hydro.npz,ok,29379,25730,3649,1541.251,43.78800000000001,0.0001,1.0,9.942933521225315e-05,0.1182053589455721,cv1.2_cd1.1_ca1_c0_fhat00.18_band0.11-0.26,0.0,7,1.0,0.011999999999943611,1.185,3.7853981633974483,3.0,0.0,
comb_Ur2__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports/comb_Ur2__1Hydro.npz,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports_td_burnin_trimmed/comb_Ur2__1Hydro.npz,ok,19949,7114,12835,1382.467,77.00999999999999,0.0001,1.0,9.875261341995224e-05,0.4095329745224199,cv1.2_cd1.1_ca1_c0_fhat00.18_band0.11-0.26,0.0,7,1.0,0.0060000000000854925,29.61,3.7853981633974483,3.0,0.0,
comb_Ur2__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports/comb_Ur2__2Hydro.npz,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports_td_burnin_trimmed/comb_Ur2__2Hydro.npz,ok,24637,17292,7345,1394.527,44.069999999999936,0.0001,1.0,9.95809005103232e-05,0.4289872374597824,cv1.2_cd1.1_ca1_c0_fhat00.18_band0.11-0.26,0.0,7,1.0,0.0060000000000854925,29.61,3.7853981633974483,3.0,0.0,
comb_Ur4__Hydro,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports/comb_Ur4__Hydro.npz,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports_td_burnin_trimmed/comb_Ur4__Hydro.npz,ok,21110,17858,3252,39.516,19.511999999999997,0.0001,1.0,9.939193787967179e-05,0.676686647213138,cv1.2_cd1.1_ca1_c0_fhat00.18_band0.11-0.26,0.0,7,1.0,0.006000000000000227,7.4025,3.7853981633974483,3.0,0.0,
comb_Ur575__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports/comb_Ur575__1Hydro.npz,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports_td_burnin_trimmed/comb_Ur575__1Hydro.npz,ok,19330,16863,2467,1394.739,19.736000000000104,0.0001,1.0,9.960838416501128e-05,0.37629312879919,cv1.2_cd1.1_ca1_c0_fhat00.18_band0.11-0.26,0.0,7,1.0,0.008000000000038199,3.5825,3.7853981633974483,3.0,0.0,
comb_Ur575__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports/comb_Ur575__2Hydro.npz,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports_td_burnin_trimmed/comb_Ur575__2Hydro.npz,ok,27693,24431,3262,1479.555,26.096000000000004,0.0001,1.0,9.960283662984902e-05,0.3530239559788382,cv1.2_cd1.1_ca1_c0_fhat00.18_band0.11-0.26,0.0,7,1.0,0.008000000000038199,3.5825,3.7853981633974483,3.0,0.0,
comb_Ur5__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports/comb_Ur5__1Hydro.npz,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports_td_burnin_trimmed/comb_Ur5__1Hydro.npz,ok,23876,20650,3226,1367.267,25.807999999999993,0.0001,1.0,9.913332560103016e-05,0.8596659328348755,cv1.2_cd1.1_ca1_c0_fhat00.18_band0.11-0.26,0.0,7,1.0,0.008000000000038199,4.7375,3.7853981633974483,3.0,0.0,
comb_Ur5__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports/comb_Ur5__2Hydro.npz,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports_td_burnin_trimmed/comb_Ur5__2Hydro.npz,ok,27568,24886,2682,1550.915,21.455999999999904,0.0001,1.0,9.955189533943979e-05,0.8645415007262736,cv1.2_cd1.1_ca1_c0_fhat00.18_band0.11-0.26,0.0,7,1.0,0.008000000000038199,4.7375,3.7853981633974483,3.0,0.0,
comb_Ur7__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports/comb_Ur7__1Hydro.npz,/Users/kasperslagstad/Desktop/Masterproject/CFD_Data/npz_exports_td_burnin_trimmed/comb_Ur7__1Hydro.npz,ok,23151,20997,2154,1475.851,25.848000000000184,0.0001,1.0,9.956160108854654e-05,0.1641680026621324,cv1.2_cd1.1_ca1_c0_fhat00.18_band0.11-0.26,0.0,7,1.0,0.011999999999943611,2.4175,3.7853981633974483,3.0,0.0,
