case_name,path,ur_value,dt,flow_speed_m_s,diameter_m,structural_frequency_hz,stiffness_n_m,effective_mass_kg,dry_mass_kg,rho_kg_m3,span_m,notes
comb_Ur2__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur2/1Hydro.dog,2.0,0.0060000000000854925,1.0,1.0,,118.44,15.14,12.0,1.0,4.0,
comb_Ur2__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur2/2Hydro.dog,2.0,0.0060000000000854925,1.0,1.0,,118.44,15.14,12.0,1.0,4.0,
comb_Ur4__Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur4/Hydro.dog,4.0,0.006000000000000227,1.0,1.0,,29.61,15.14,12.0,1.0,4.0,
comb_Ur5__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur5/1Hydro.dog,5.0,0.008000000000038199,1.0,1.0,,18.95,15.14,12.0,1.0,4.0,
comb_Ur5__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur5/2Hydro.dog,5.0,0.008000000000038199,1.0,1.0,,18.95,15.14,12.0,1.0,4.0,
comb_Ur575__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur575/1Hydro.dog,5.75,0.008000000000038199,1.0,1.0,,14.33,15.14,12.0,1.0,4.0,
comb_Ur575__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur575/2Hydro.dog,5.75,0.008000000000038199,1.0,1.0,,14.33,15.14,12.0,1.0,4.0,
comb_Ur7__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur7/1Hydro.dog,7.0,0.011999999999943611,1.0,1.0,,9.67,15.14,12.0,1.0,4.0,
comb_Ur7__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur7/2Hydro.dog,7.0,0.011999999999943611,1.0,1.0,,9.67,15.14,12.0,1.0,4.0,
comb_Ur8__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur8/1Hydro.dog,8.0,0.011999999999943611,1.0,1.0,,7.4,15.14,12.0,1.0,4.0,
comb_Ur8__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur8/2Hydro.dog,8.0,0.011999999999943611,1.0,1.0,,7.4,15.14,12.0,1.0,4.0,
comb_Ur8__3Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur8/3Hydro.dog,8.0,0.011999999999943611,1.0,1.0,,7.4,15.14,12.0,1.0,4.0,
comb_Ur10__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur10/1Hydro.dog,10.0,0.011999999999943611,1.0,1.0,,4.74,15.14,12.0,1.0,4.0,
comb_Ur10__3Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur10/3Hydro.dog,10.0,0.011999999999943611,1.0,1.0,,4.74,15.14,12.0,1.0,4.0,
