case_name,path,ur_value,action,start_time,end_time,full_start_time,full_end_time,duration_s,num_rows,notes
comb_Ur2__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur2/1Hydro.dog,2.0,keep,,,1305.457,1425.145,119.68799999999987,20428,
comb_Ur2__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur2/2Hydro.dog,2.0,keep,,,1350.457,1498.273,147.8159999999998,24662,
comb_Ur2__Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur2/Hydro.dog,2.0,drop,,,1305.457,1498.273,192.8159999999998,45090,
comb_Ur4__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur4/1Hydro.dog,4.0,drop,,,0.006,146.658,146.652,24443,
comb_Ur4__Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur4/Hydro.dog,4.0,trim,20.0,146.658,0.006,146.658,146.652,24443,
comb_Ur5__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur5/1Hydro.dog,5.0,keep,,,1341.459,1532.459,191.0,23901,
comb_Ur5__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur5/2Hydro.dog,5.0,trim,1529.459,1750.0,1529.459,1866.939,337.48,28931,
comb_Ur5__Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur5/Hydro.dog,5.0,drop,,,1341.459,1866.939,525.48,52832,
comb_Ur575__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur575/1Hydro.dog,5.75,trim,1375.0,1529.635,1341.459,1529.635,188.17599999999993,23673,
comb_Ur575__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur575/2Hydro.dog,5.75,trim,1453.459,1675.0,1453.459,1802.763,349.30399999999986,30466,
comb_Ur575__Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur575/Hydro.dog,5.75,drop,,,1341.459,1802.763,461.30399999999986,54139,
comb_Ur7__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur7/1Hydro.dog,7.0,trim,1450.0,1727.803,1425.463,1727.803,302.34000000000015,25196,
comb_Ur7__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur7/2Hydro.dog,7.0,keep,,,1725.463,2138.455,412.99199999999996,34417,
comb_Ur7__Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur7/Hydro.dog,7.0,drop,,,1425.463,2138.455,712.992,59613,
comb_Ur8__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur8/1Hydro.dog,8.0,trim,1350.0,1553.107,1305.463,1553.107,247.644,21096,
comb_Ur8__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur8/2Hydro.dog,8.0,trim,1419.463,1770.0,1419.463,2000.095,580.6320000000001,33648,
comb_Ur8__3Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur8/3Hydro.dog,8.0,keep,,,1719.463,2136.991,417.528,34795,
comb_Ur10__1Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur10/1Hydro.dog,10.0,keep,,,1530.619,1752.175,221.55600000000004,18464,
comb_Ur10__2Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur10/2Hydro.dog,10.0,drop,,,1305.463,1629.331,323.86799999999994,41161,
comb_Ur10__3Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur10/3Hydro.dog,10.0,trim,1497.463,1850.0,1497.463,2074.963,577.5000000000002,33459,
comb_Ur10__Hydro,/Users/kasperslagstad/Desktop/Masterproject/vivana_cfd_data_pipeline/raw/comb_Ur10/Hydro.dog,10.0,drop,,,1305.463,2074.963,769.5000000000002,93084,
